n_estimators,max_depth,min_samples_split,val_pr_auc_mean,val_pr_auc_std,val_roc_auc_mean,val_macro_f1_mean
200,,10,0.7312349313528671,0.008440332318586779,0.9246922664266108,0.8097826587459658
100,,10,0.7289626229835898,0.008436201304834742,0.9231886307968115,0.8091742977075927
200,,5,0.7277633855207183,0.009077676505299918,0.922416369144407,0.8087349332631912
100,,5,0.7258560173532753,0.008307788220317431,0.9203559300127843,0.8087014926178142
50,,10,0.7235505907322896,0.009196570030383506,0.920675680769848,0.8068275031030059
50,,5,0.7215982285024068,0.008025330117348345,0.9169949843531574,0.8075967398649702
200,,2,0.7208852140877937,0.008744286674592686,0.9202335353659423,0.801426274548367
100,,2,0.7167955604600715,0.008780471228835275,0.916694646064472,0.8012035175302478
50,,2,0.7074763631322343,0.010922338624143284,0.9116220547996777,0.7995123116803708
200,10.0,10,0.6830804499843819,0.009963270493418684,0.9100793265461959,0.4389537327102365
200,5.0,10,0.6825380314829995,0.009086981842546494,0.9068052639796591,0.14998303545501845
100,10.0,10,0.682495384760808,0.009880201684836734,0.9100405575931438,0.4390047979157714
200,5.0,5,0.6824528863067202,0.009137798215489079,0.9068246053956053,0.14888961149525004
100,5.0,10,0.6821975461178982,0.009010389812052695,0.9067131732696467,0.16052694467610612
100,5.0,5,0.6820895796986336,0.008616739524658024,0.9066742658314618,0.15968609350423732
200,5.0,2,0.68206969333102,0.009247316454650413,0.906798091151388,0.14896045357939744
100,5.0,2,0.6815393906994001,0.008647802425711872,0.9065471318297105,0.15853804974111638
200,10.0,5,0.6813192927949178,0.010442115743007237,0.9095173231678361,0.4390719187549192
100,10.0,5,0.6798441502383656,0.010404732938298624,0.9089015340702232,0.43902370853228556
50,10.0,10,0.6793526990699859,0.011425005623805164,0.9087014744308342,0.439719556138396
50,5.0,5,0.678158925104852,0.00783501143231581,0.9058297398171986,0.15995379375935243
50,5.0,10,0.6779306993223818,0.007711705685441036,0.9057152587510473,0.1606157263697293
50,5.0,2,0.6774503889738532,0.008346578162638597,0.9056214382865824,0.1571493098358339
200,10.0,2,0.6759674600156405,0.010028059242982832,0.9086057814829692,0.4382869999566794
50,10.0,5,0.6755512475010095,0.009349744887348278,0.9074589094802192,0.4399631976288024
200,20.0,10,0.6753552741033013,0.00900672506922025,0.9070237393473087,0.7016127126317141
100,20.0,10,0.6733512964127406,0.00915809909483026,0.906302266801894,0.7000602020483024
100,10.0,2,0.6732745852700693,0.010119287877354999,0.9082566561167379,0.4376394995488854
50,10.0,2,0.6685361919243085,0.00989302880290537,0.9069776261591773,0.43786097876055124
50,20.0,10,0.6666444385710399,0.010317760161073756,0.9041868032006667,0.699067887739633
200,20.0,5,0.6586366163466972,0.01019519335244079,0.9018176852402877,0.703344461658549
100,20.0,5,0.6558966714513051,0.01053856999944731,0.9007040009640793,0.7015410798509701
50,20.0,5,0.6510151480674896,0.009850145826631209,0.8988518309362628,0.7012629243075998
200,20.0,2,0.6371891326523519,0.009617202851270856,0.8964981375781882,0.7030762705024822
100,20.0,2,0.635044980707958,0.009778030951720262,0.8954721843482272,0.7022124607919029
50,20.0,2,0.6285686212390077,0.011654425674217473,0.8934062050066048,0.7014224866461014
