,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.010341639241369454,-0.028551402884646703,0.03967172741455223,-0.018209763643277248,0.05001336665592168
vader_neg,-0.08208634410446596,1.7749255103541304,0.22695807326673972,1.8570118544585963,0.3090444173712057
vader_compound,0.059141058383226516,-1.122332930967966,-0.3731025132428604,-1.1814739893511925,-0.43224357162608695
second_person_density,-0.04820355519224261,0.9499233481750174,0.2597093487682365,0.9981269033672601,0.3079129039604791
uppercase_ratio,-0.029188112843757365,0.4751259604154548,0.08428038671579016,0.5043140732592122,0.11346849955954752
vader_pos,0.009461066121287448,-0.21609383094321818,-0.03253610736979815,-0.22555489706450563,-0.0419971734910856
second_person_count,-0.007394793529068948,0.09886146594111733,0.004311442368388328,0.10625625947018628,0.011706235897457276
slang_count,-0.00620176041327705,0.04936039470970416,0.022250338742413268,0.05556215512298121,0.028452099155690316
char_count,0.019136706496180933,-0.2931449940091736,-0.1363397726290319,-0.31228170050535453,-0.15547647912521284
identity_sexuality,-0.017106624400548665,0.4517278185251339,0.0931378519736969,0.46883444292568255,0.11024447637424556
elongated_token_count,-0.004004711774753858,0.013712408390808737,-0.0018126189226864097,0.017717120165562594,0.002192092852067448
word_count,0.019195693654482267,-0.3019391442840394,-0.125325120184346,-0.32113483793852166,-0.14452081383882825
avg_sentence_length,0.00398912008544096,-0.08704413050627217,0.08535621568023738,-0.09103325059171313,0.08136709559479642
identity_gender,-0.014898995273665198,0.23439617578042599,0.08689270734456184,0.24929517105409119,0.10179170261822704
unique_word_ratio,-0.018041227777546135,0.410489979302493,0.13359335303427877,0.4285312070800391,0.1516345808118249
has_second_person,-0.02146574405261418,0.3684947091072102,0.15065212777823994,0.3899604531598244,0.1721178718308541
vader_pos_minus_neg,0.0603514563359224,-1.3123361643541696,-0.1709476369457008,-1.372687620690092,-0.2312990932816232
sentence_count,0.0038933811734309645,-0.1275471502481111,-0.05988803121376569,-0.13144053142154208,-0.06378141238719665
identity_race,-0.0011196506528995394,-0.03271082068083054,-0.025037865023418055,-0.031591170027931,-0.023918214370518515
obfuscated_profanity_count,-0.007068705410622792,0.1643458282344938,0.017291758656294,0.1714145336451166,0.02436046406691679
